unix_time,vhcl_id,stdr_ymd,stdr_hm,stdr_ss,lon,lat,alt,spd,allowed_spd,agl,slp,vhcl_typ,from_inter_id,to_inter_id,dist2to_inter,turn_typ2to_inter,edge_grp_id,edge_id,lane_id,seg_id,nxt_inter_id,dist2nxt_inter,turn_typ2nxt_inter,nxt_inter_sig_st,nxt_inter_phs_no,que_all,que_200,que_200_500,que_500,tl
1660075928,passenger_1660075260_1660075920_7,20220810,512,8,126.75526466351462,37.50559534182637,0.0,0.0,19.84824,98.3045494909942,0.0,1,,,,,,,477771559_0201_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_7,20220810,514,59,126.75762482325489,37.50537025949184,0.0,0.0,14.18169,95.73426965361126,0.0,1,,,,,,,477765078_01_1,,,,,,,1,2,2,2,1.0
1660075929,passenger_1660075260_1660075920_8,20220810,512,9,126.76966431686547,37.49838333039268,0.0,0.0,13.706652,280.84923072562344,0.0,1,,,,,,,477649580_01_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_8,20220810,514,59,126.76844465188054,37.50004694512727,0.0,12.646990473767042,13.706652,356.00211890027737,0.0,1,201306,201293,132.75,,201306_201293,:SN20220922005611D_3,:SN20220922005611D_3_1,:SN20220922005611D_3_1_001,,,,,,0,0,2,2,0.0773100189771329
1660075981,passenger_1660075260_1660075980_1,20220810,513,1,126.75389889078602,37.50566173852193,0.0,0.0,21.595896,93.1798301198638,0.0,1,,,,,,,477767118_0102_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_1,20220810,514,59,126.75748825373446,37.50306507480938,0.0,0.0,15.430401,193.0645141703763,0.0,1,cluster_204796_205202,204920,80.0,,cluster_204796_205202_204920,477744474_02,477744474_02_1,477744474_02_1_005,,,,,,1,1,2,2,1.0
1660075989,passenger_1660075260_1660075980_10,20220810,513,9,126.75598551565535,37.50005584813314,0.0,0.0,18.400346,98.70825820648456,0.0,1,,,,,,,477666532_0102_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_10,20220810,514,59,126.75635657704989,37.500047511271646,0.0,0.0,18.400346,102.50721653587838,0.0,1,SN20220622163830B,201305,35.29,,SN20220622163830B_201305,477666532_02_01,477666532_02_01_2,477666532_02_01_2_001,,,,,,1,1,2,2,1.0
1660075990,passenger_1660075260_1660075980_11,20220810,513,10,126.7604456003846,37.49988711624118,0.0,0.0,13.62609,190.7815380438828,0.0,1,,,,,,,477649555_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_11,20220810,514,59,126.76180585493005,37.49930801415541,0.0,0.0,13.62609,100.76549688443234,0.0,1,201305,201301,40.0,,201305_201301,477649559_02,477649559_02_0,477649559_02_0_006,,,,,,1,1,2,2,1.0
1660075991,passenger_1660075260_1660075980_12,20220810,513,11,126.75714148520424,37.496042839542106,0.0,0.0,16.567992,11.662218065000504,0.0,1,,,,,,,477649536_02_0,,,,,,,1,2,2,2,1.0
